iter	Logloss
0	0.649530223
1	0.6138480666
2	0.5841222594
3	0.5596048891
4	0.5391754553
5	0.5231463252
6	0.50884969
7	0.4970203254
8	0.4877129981
9	0.4796953805
10	0.4726571034
11	0.466760937
12	0.4622626002
13	0.4577912025
14	0.4544246519
15	0.4514816697
16	0.4487343355
17	0.4466855065
18	0.4445371104
19	0.4431791932
20	0.4419120043
21	0.4407807867
22	0.4396566474
23	0.4385401348
24	0.4377910949
25	0.4369623527
26	0.4363455565
27	0.4357874858
28	0.4353949219
29	0.4349716239
30	0.4346751595
31	0.4343302052
32	0.434071895
33	0.4337111019
34	0.433402569
35	0.433243678
36	0.4330356864
37	0.4328584617
38	0.4326506434
39	0.4324545937
40	0.4322986195
41	0.43218463
42	0.4320800411
43	0.4319961105
44	0.4319120653
45	0.4318258908
46	0.4316935579
47	0.4316030026
48	0.4315157371
49	0.4314232252
50	0.4312706603
51	0.4312005134
52	0.4310843741
53	0.4310206426
54	0.4309623609
55	0.4309158126
56	0.4308428484
57	0.4307326766
58	0.4306484127
59	0.4305836669
60	0.4304994478
61	0.4304491445
62	0.430399504
63	0.4303438126
64	0.4302675025
65	0.4301979948
66	0.4301543183
67	0.4300998664
68	0.4300507308
69	0.4299841991
70	0.4299181547
71	0.4298724727
72	0.4298528028
73	0.4298033406
74	0.4297713917
75	0.4296986455
76	0.42964955
77	0.4296093859
78	0.4295560628
79	0.4295170256
80	0.4294900019
81	0.4294385097
82	0.429381118
83	0.4293235265
84	0.4292750545
85	0.4292174445
86	0.4291735381
87	0.429141765
88	0.4291078322
89	0.4290723487
90	0.4290328544
91	0.4290051934
92	0.4289785909
93	0.4289069153
94	0.4288801307
95	0.4288395443
96	0.4287854987
97	0.4287497207
98	0.4287305753
99	0.4287075301
100	0.4286674934
101	0.4286372387
102	0.428580714
103	0.4285496746
104	0.4284973949
105	0.4284557134
106	0.4284127707
107	0.428379988
108	0.4283454201
109	0.4283127627
110	0.4282673744
111	0.4282335894
112	0.4281981571
113	0.428174861
114	0.4281460863
115	0.4281233985
116	0.4281039271
117	0.4280867639
118	0.4280637212
119	0.4280089948
120	0.4279225043
121	0.4278908155
122	0.4278470211
123	0.4278350418
124	0.4277989566
125	0.4277383436
126	0.427680646
127	0.4276374994
128	0.427591336
129	0.4275547265
130	0.4275291412
131	0.4275049148
132	0.4274667929
133	0.4274246538
134	0.4273734088
135	0.4273316178
136	0.4272818744
137	0.4272674696
138	0.4271814416
139	0.4271565499
140	0.4271053155
141	0.4270717143
142	0.4270343137
143	0.4269908995
144	0.4269507095
145	0.4269037618
146	0.4268509551
147	0.4267848609
148	0.4267681099
149	0.4267335142
150	0.4266991503
151	0.4266605204
152	0.426621252
153	0.4265936341
154	0.4265158574
155	0.4264534366
156	0.4264318807
157	0.4263729401
158	0.4263084835
159	0.4262823057
160	0.4262208022
161	0.4261676602
162	0.4260938924
