iter	Passed	Remaining
0	11	11124
1	20	10176
2	28	9512
3	36	9152
4	45	9032
5	54	8965
6	62	8845
7	70	8748
8	78	8666
9	86	8583
10	94	8535
11	103	8482
12	110	8423
13	118	8371
14	126	8324
15	134	8294
16	142	8265
17	151	8275
18	159	8237
19	167	8213
20	175	8183
21	183	8165
22	191	8140
23	200	8133
24	207	8107
25	216	8099
26	223	8070
27	232	8056
28	240	8038
29	248	8036
30	256	8012
31	264	7998
32	272	7984
33	280	7963
34	288	7943
35	296	7935
36	304	7917
37	313	7924
38	320	7907
39	328	7895
40	336	7881
41	345	7872
42	353	7856
43	360	7842
44	368	7823
45	376	7814
46	384	7803
47	392	7793
48	400	7778
49	409	7772
50	417	7766
51	426	7770
52	434	7772
53	443	7769
54	451	7761
55	459	7752
56	468	7744
57	476	7739
58	484	7728
59	492	7723
60	501	7716
61	509	7710
62	517	7702
63	526	7695
64	534	7684
65	542	7674
66	550	7665
67	558	7656
68	566	7640
69	574	7629
70	583	7630
71	591	7620
72	598	7606
73	607	7597
74	615	7585
75	624	7587
76	632	7584
77	641	7578
78	649	7573
79	657	7566
80	666	7560
81	674	7552
82	682	7542
83	691	7539
84	699	7531
85	707	7519
86	715	7510
87	723	7499
88	731	7485
89	739	7473
90	747	7463
91	755	7457
92	763	7444
93	771	7435
94	779	7423
95	786	7410
96	795	7401
97	802	7388
98	810	7377
99	818	7368
100	827	7365
101	835	7359
102	844	7351
103	852	7342
104	860	7336
105	868	7324
106	876	7316
107	884	7306
108	892	7298
109	900	7288
110	909	7283
111	916	7269
112	924	7260
113	932	7250
114	941	7241
115	948	7228
116	956	7219
117	963	7204
118	972	7196
119	980	7187
120	988	7178
121	995	7166
122	1003	7157
123	1011	7148
124	1021	7147
125	1029	7141
126	1037	7133
127	1045	7123
128	1053	7115
129	1062	7109
130	1070	7098
131	1077	7088
132	1085	7078
133	1093	7070
134	1101	7060
135	1109	7051
136	1117	7040
137	1125	7031
138	1133	7022
139	1141	7012
140	1149	7005
141	1157	6996
142	1165	6986
143	1173	6978
144	1181	6967
145	1189	6956
146	1197	6946
147	1205	6936
148	1212	6923
149	1220	6913
150	1227	6903
151	1235	6895
152	1244	6887
153	1254	6891
154	1263	6889
155	1271	6881
156	1279	6870
157	1288	6864
158	1296	6858
159	1304	6847
160	1312	6837
161	1320	6830
162	1328	6823
163	1337	6816
164	1344	6805
165	1353	6799
166	1361	6792
167	1370	6785
168	1378	6779
169	1387	6773
170	1395	6766
171	1403	6756
172	1411	6746
173	1419	6740
174	1428	6732
175	1437	6727
176	1445	6719
177	1453	6712
178	1462	6705
179	1471	6704
180	1480	6698
181	1488	6689
182	1496	6680
183	1504	6671
184	1512	6663
185	1520	6655
186	1528	6646
187	1537	6638
188	1544	6629
189	1552	6617
190	1560	6610
191	1568	6601
192	1576	6592
193	1584	6583
194	1592	6573
195	1600	6565
196	1608	6554
197	1616	6548
198	1625	6543
199	1634	6536
200	1641	6525
201	1650	6518
202	1658	6510
203	1666	6502
204	1674	6495
205	1683	6488
206	1690	6476
207	1698	6468
208	1707	6460
209	1715	6452
210	1723	6444
211	1731	6435
212	1739	6427
213	1748	6422
214	1758	6419
215	1766	6411
216	1774	6403
217	1783	6396
